"country","incarcerationRatesByCountry_ratePer100k","incarcerationRatesByCountry_totIncarcerated","incarcerationRatesByCountry_percFemale","incarcerationRatesByCountry_percMale"
"India",41,573220,4.1,95.9
"China",119,1690000,8.6,91.4
"United States",531,1767200,8.8,91.2
"Indonesia",94,266512,4.7,95.3
"Pakistan",38,87712,1.6,98.4
"Nigeria",34,77350,2.2,97.8
"Brazil",390,839672,5.4,94.6
"Bangladesh",50,84851,3.9,96.1
"Russia",300,433006,8.9,91.1
"Ethiopia",99,110000,4.2,95.8
"Mexico",174,231906,5.7,94.3
"Japan",36,45714,8.6,91.4
"Philippines",162,180826,9.8,90.2
"Egypt",116,120000,3.7,96.3
"DR Congo",46,22820,2.3,97.7
"Vietnam",135,133986,12.1,87.9
"Iran",228,189000,3.1,96.9
"Turkey",340,341497,4.1,95.9
"Germany",67,56325,5.6,94.4
"Thailand",377,262319,11.6,88.4
"Tanzania",50,32671,3.4,96.6
"United Kingdom",,96977,,100
"France",109,74342,4.4,95.6
"South Africa",258,157056,3,97
"Italy",103,59715,4.2,95.8
"Kenya",107,58887,5.1,94.9
"Myanmar",183,100324,12.3,87.7
"Colombia",198,101622,6.5,93.5
"South Korea",103,52940,8.1,91.9
"Uganda",150,75764,4.7,95.3
"Sudan",52,21000,1.7,98.3
"Spain",113,54197,7.1,92.9
"Iraq",179,73715,2.6,97.4
"Algeria",217,94749,1.5,98.5
"Argentina",254,117810,4.1,95.9
"Afghanistan",45,14000,4.2,95.8
"Poland",197,74967,5,95
"Canada",88,33833,7,93
"Morocco",270,100004,2.4,97.6
"Ukraine",123,48038,3.9,96.1
"Angola",79,24966,2.5,97.5
"Saudi Arabia",207,68056,1.9,98.1
"Uzbekistan",85,29000,,100
"Yemen",35,9719,1.3,98.7
"Mozambique",67,23098,3,97
"Ghana",45,14918,1.2,98.8
"Peru",272,93985,5.2,94.8
"Malaysia",217,72437,5.9,94.1
"Nepal",90,27550,5.4,94.6
"Madagascar",98,28830,5.5,94.5
"Ivory Coast",95,25121,2.5,97.5
"Venezuela",199,67200,7.8,92.2
"Cameroon",116,32003,2.6,97.4
"Niger",40,10179,3.1,96.9
"Australia",158,41155,7.3,92.7
"Syria",60,10599,7.4,92.6
"Mali",40,8670,3,97
"Taiwan",239,56202,8.9,91.1
"Burkina Faso",39,8800,1.8,98.2
"Sri Lanka",149,32402,4.3,95.7
"Malawi",76,16366,1.1,98.9
"Zambia",125,24000,2.7,97.3
"Kazakhstan",184,35228,7,93
"Chile",281,53200,7.8,92.2
"Romania",124,23608,4.5,95.5
"Chad",59,8700,2.4,97.6
"Ecuador",167,30804,5.5,94.5
"Guatemala",123,23361,12.1,87.9
"Senegal",69,13185,2.6,97.4
"Netherlands",65,11447,4.6,95.4
"Cambodia",219,38050,6.6,93.4
"Zimbabwe",138,21619,2.1,97.9
"Guinea",34,4375,3,97
"Rwanda",637,89034,5.4,94.6
"Benin",111,14190,3.3,96.7
"Burundi",102,13518,7.6,92.4
"Bolivia",207,25000,6.1,93.9
"Tunisia",196,23484,3.3,96.7
"Haiti",98,11253,3.6,96.4
"Belgium",97,11326,4.5,95.5
"Dominican Republic",223,25461,2.5,97.5
"Jordan",185,19140,2.2,97.8
"South Sudan",58,8400,10.9,89.1
"Cuba",794,90000,0,100
"Honduras",191,19619,5.5,94.5
"Sweden",82,8635,5.9,94.1
"Papua New Guinea",54,5000,5,95
"Czech Republic",179,19569,8.8,91.2
"Azerbaijan",244,24698,2.8,97.2
"Tajikistan",141,14000,2.4,97.6
"Greece",101,10526,4.9,95.1
"Portugal",117,12257,7.4,92.6
"Hungary",203,19499,7.5,92.5
"United Arab Emirates",104,9826,11.7,88.3
"Belarus",345,32556,10.8,89.2
"Israel",217,19756,1,99
"Togo",59,4990,2.6,97.4
"Sierra Leone",57,4801,1.5,98.5
"Austria",96,8792,6.8,93.2
"Switzerland",73,6445,5.9,94.1
"Laos",166,11885,13.7,86.3
"Hong Kong",106,7751,19.7,80.3
"Nicaragua",332,20918,5.4,94.6
"Serbia",162,10787,4.1,95.9
"Libya",269,19103,1.1,98.9
"Paraguay",233,17006,5.2,94.8
"Kyrgyzstan",117,7633,2.9,97.1
"Bulgaria",101,6501,3.7,96.3
"Turkmenistan",576,35000,6.5,93.5
"El Salvador",1086,71000,7.4,92.6
"Republic of the Congo",27,1388,3.7,96.3
"Singapore",156,9536,10.2,89.8
"Denmark",69,4106,4.8,95.2
"Central African Republic",40,1990,2.3,97.7
"Slovakia",179,9854,7.7,92.3
"Finland",51,2839,7.1,92.9
"Liberia",55,3000,2.8,97.2
"Norway",52,3000,5.1,94.9
"New Zealand",173,8893,6.2,93.8
"Costa Rica",301,15700,3.2,96.8
"Lebanon",143,9500,2.9,97.1
"Ireland",88,4742,4.9,95.1
"Mauritania",57,2826,2,98
"Oman",46,1960,4.5,95.5
"Panama",499,22239,5.1,94.9
"Kuwait",103,4500,5.8,94.2
"Croatia",106,4073,5.9,94.1
"Georgia",256,9688,3.5,96.5
"Mongolia",183,5832,4.5,95.5
"Uruguay",424,14965,7.4,92.6
"Moldova",236,6084,5.4,94.6
"Puerto Rico",221,7176,3.7,96.3
"Bosnia and Herzegovina",,2337,,100
"Gambia",22,543,2.6,97.4
"Albania",189,5169,1.2,98.8
"Jamaica",125,3559,4,96
"Armenia",79,2357,2.9,97.1
"Qatar",58,1644,4.6,95.4
"Botswana",161,3971,5,95
"Lithuania",177,4955,4.1,95.9
"Namibia",318,8900,2.9,97.1
"Gabon",228,5226,2.2,97.8
"Lesotho",104,2216,2.9,97.1
"Guinea-Bissau",31,596,2.6,97.4
"Slovenia",84,1648,5.4,94.6
"North Macedonia",138,2525,3.1,96.9
"Latvia",172,3229,8.4,91.6
"Equatorial Guinea",63,500,5,95
"Trinidad and Tobago",276,3802,2.9,97.1
"Bahrain",234,3485,4.7,95.3
"Timor-Leste",55,763,4.1,95.9
"Estonia",132,1848,4.8,95.2
"Mauritius",197,2522,6.4,93.6
"Cyprus",103,947,9.5,90.5
"Eswatini",243,3405,2.9,97.1
"Djibouti",71,662,5,95
"Reunion",137,1249,2.3,97.7
"Fiji",256,2379,2.5,97.5
"Comoros",46,422,1.6,98.4
"Guyana",271,2156,2.8,97.2
"Bhutan",145,1119,4.3,95.7
"Solomon Islands",79,500,1.7,98.3
"Macau",197,1339,15.4,84.6
"Luxembourg",107,705,5.4,94.6
"Suriname",185,1000,2.8,97.2
"Montenegro",166,1026,3.2,96.8
"Cape Verde",366,2100,2.9,97.1
"Malta",113,589,8.6,91.4
"Maldives",314,1700,4.3,95.7
"Brunei",186,841,11.9,88.1
"Belize",289,1199,3,97
"Bahamas",409,1617,3.1,96.9
"Guadeloupe",197,881,2.2,97.8
"Iceland",36,140,8.3,91.7
"Martinique",261,1003,3.1,96.9
"Mayotte",186,549,1.3,98.7
"Vanuatu",65,195,6.7,93.3
"French Guiana",305,1001,8.4,91.6
"French Polynesia",178,509,2.6,97.4
"New Caledonia",201,590,1.3,98.7
"Barbados",258,743,3.4,96.6
"Sao Tome and Principe",115,260,4,96
"Samoa",179,358,5.3,94.7
"Curacao",261,429,2.6,97.4
"Saint Lucia",278,514,2.7,97.3
"Guam",475,820,3.9,96.1
"Kiribati",113,129,0.8,99.2
"Grenada",335,379,1.3,98.7
"Micronesia",127,132,,100
"Jersey",135,146,6.8,93.2
"Tonga",166,176,4.5,95.5
"Seychelles",413,417,6.5,93.5
"Aruba",238,254,8.4,91.6
"Saint Vincent and the Grenadines",353,392,2.8,97.2
"United States Virgin Islands",345,359,5.2,94.8
"Antigua and Barbuda",400,233,5.5,94.5
"Isle of Man",103,90,4.4,95.6
"Andorra",73,60,11.8,88.2
"Dominica",348,261,1.1,98.9
"Cayman Islands",266,189,7.2,92.8
"Bermuda",200,124,2.9,97.1
"Guernsey",125,83,6,94
"Greenland",241,136,13.8,86.2
"Faroe Islands",23,12,,100
"Northern Mariana Islands",273,153,5.8,94.2
"Saint Kitts and Nevis",296,160,3.6,96.4
"Sint Maarten",196,87,8,92
"American Samoa",538,301,9.6,90.4
"Marshall Islands",66,35,,100
"Liechtenstein",15,6,,100
"Monaco",69,27,14.3,85.7
"San Marino",9,3,11.1,88.9
"Gibraltar",273,92,7.1,92.9
"British Virgin Islands",368,114,4.5,95.5
"Palau",428,77,3.9,96.1
"Cook Islands",224,47,8.3,91.7
"Anguilla",240,36,,100
"Nauru",140,14,7.1,92.9
"Tuvalu",110,11,,100